Date,bench_ret,mom_ret,bench_indexed,mom_indexed
2000-01-31,-0.0495175,0.05107489868987105,0.9504825,1.051074898689871
2000-02-29,0.06799401904462155,0.05794601337517344,1.0679940190446215,1.1119804988276634
2000-03-31,0.029253555375433837,-0.052600748834075735,1.0992366412213754,1.0534894919004392
2000-04-30,0.002648911798396769,-0.1015306701511238,1.1021484221295368,0.9465279977906207
2000-05-31,-0.026561942163512486,-0.06418928452195556,1.0728732194853254,0.8857710428324416
2000-06-30,-0.012909851096603364,0.03671919281309981,1.0590225859762363,0.9182958405424665
2000-07-31,0.01679423348443132,-0.04098603585621372,1.0768080585504074,0.880658534295381
2000-08-31,0.02879485492947431,0.0035415339954018507,1.1078145903832552,0.883777416432929
2000-09-30,-0.04084677132911896,-0.019245297294677808,1.062563941134809,0.8667688573113549
2000-10-31,0.03199525996148744,-0.0059021658063828294,1.0965609506571197,0.8616530437996943
2000-11-30,-0.06516434620353084,0.0023326290776885875,1.0251042732352262,0.8636629607445404
2000-12-31,-0.010056809458006688,-0.007939110604511666,1.014794994884711,0.8568062449741695
2001-01-31,0.009771229158588524,-0.05633100139763416,1.0247107893287182,0.8085414911910279
2001-02-28,-0.07864219337992473,0.09670995591721536,0.9441252852758338,0.8867355031613517
2001-03-31,-0.039509877469367516,0.013382583351073049,0.906823010938854,0.8986023149427642
2001-04-30,0.06526078278226177,-0.009002024365454546,0.9660029904776911,0.8905130750087956
2001-05-31,-0.008961303462322046,0.02005621196365013,0.95734634453451,0.9083733939975738
2001-06-30,-0.038388820386354494,0.10070440617706786,0.9205949476666416,0.9998505972271472
2001-07-31,-0.030603521969567615,0.005417294166500032,0.8924214999606526,1.0052670820348775
2001-08-31,-0.06393298059964725,0.032575339364737776,0.8353663335169601,1.0380139983843633
2001-09-30,-0.10277908619877518,0.08799965437353015,0.7495081451168657,1.1293588714770733
2001-10-31,0.04304913901722007,-0.09148458036507195,0.7817738254505404,1.026039949038422
2001-11-30,0.04560096637809585,-0.06910610562526548,0.8174234673801859,0.9551343239444308
2001-12-31,0.03109656301145658,-0.0027777343581382383,0.8428425277406172,0.9524812145161732
2002-01-31,-0.02035480859010219,0.04789020330220259,0.825686629416859,0.9980957335208815
2002-02-28,-0.00638581776591729,0.069913036833016,0.8204139450696485,1.0678756373014031
2002-03-31,0.04258992805755302,-0.03576106604634833,0.8553553159675781,1.0296872661065812
2002-04-30,-0.04195418161744402,0.08098466812632321,0.8194695836940281,1.1130761476261237
2002-05-31,-0.0425429751272447,0.048989378281630434,0.7846069095773995,1.16760505607844
2002-06-30,-0.0887662988966903,0.06408375607843547,0.7149602581254436,1.2424295736881186
2002-07-31,-0.10566868464501922,-0.03718097446547586,0.6394113480758645,1.1962348314336686
2002-08-31,-0.0036923076923082165,0.0017320451875140863,0.6370504446368148,1.1983067642165899
2002-09-30,-0.13885114268066745,0.04569736123550673,0.5485952624537658,1.2530662212919466
2002-10-31,0.09353033997991655,-0.09073344703575754,0.599905563862438,1.1393712036700567
2002-11-30,0.04329004329004338,-0.08608587972738484,0.6258755016919808,1.0412874312660705
2002-12-31,-0.08713692946058116,0.09568364173879101,0.5713386322499409,1.140921604786439
2003-01-31,-0.06942148760330558,-0.0197363682441341,0.5316754544739121,1.1184039558566854
2003-02-28,-0.0386323268206038,0.026361837693505356,0.5111355945541829,1.1478871394167536
2003-03-31,-0.03110084680523517,-0.020073519643302506,0.49523884473125046,1.124845004375377
2003-04-30,0.1040839027490863,-0.07185058481320056,0.5467852364838278,1.044024232986799
2003-05-31,0.005757052389177009,0.026878829105475722,0.5499331077358938,1.0720863819272266
2003-06-30,0.031339439038351014,-0.03463590419265787,0.5671677028409537,1.034953700716542
2003-07-31,0.039406132926322,-0.04291244390534828,0.5895175887306211,0.9905413080899107
2003-08-31,0.020024028834601415,-0.03332721547796402,0.6013221059258678,0.9575293244753739
2003-09-30,-0.03873838502813731,0.008585149398373362,0.5780278586605812,0.9657498567793185
2003-10-31,0.06793737236215125,0.050773790213569064,0.617297552530102,1.014784637406216
2003-11-30,0.009561448240693826,-0.0038796323438183393,0.6231998111277255,1.0108476461049247
2003-12-31,0.028160121227427837,-0.033778353939708385,0.6407491933579924,0.9767028765356714
2004-01-31,0.026529108327191908,0.05423395323984465,0.6577476981191475,1.0296733346709288
2004-02-29,0.027638190954772934,0.003353806763566978,0.6759266545998268,1.0331266600650129
2004-03-31,-0.02421702177203444,-0.029916328011668502,0.6595577240890844,1.0022193040249083
2004-04-30,0.012528337907170561,-0.04801524475228886,0.6678208861257569,0.9540974988466837
2004-05-31,-0.007541833608296078,-0.0010416497478403126,0.6627842921224516,0.953103663427595
2004-06-30,0.014723343623842089,0.004583679549805011,0.6725426930038554,0.9574723851984924
2004-07-31,-0.01825415399017105,0.026017932106969545,0.6602659951207986,0.982383836710885
2004-08-31,-0.011799761620977733,-0.008891121697506032,0.6524750137719356,0.9736493424650257
2004-09-30,0.017006392473766674,0.007674502615190315,0.6635712599354675,0.9811216168900518
2004-10-31,0.011148007590132902,-0.015533246598125784,0.6709687573778221,0.9658816128721467
2004-11-30,0.025216983345061728,-0.012023592723564038,0.6878885653576754,0.9542682457397929
2004-12-31,0.018647751973458915,0.008831564821161517,0.7007161407098438,0.9626959276088198
2005-01-31,0.0226864330637917,0.028540119483529438,0.7166128905327761,0.9901713844090828
2005-02-28,0.029211508895233607,0.003139069978372676,0.7375462343590133,0.993279601675325
2005-03-31,-0.007789159197610029,-0.0031487007959708716,0.7318013693239932,0.9901520614029083
